Company,Industry,Review Title,Review Text,Rating,Date
DoorDash,Food Delivery,⭐ 1 STAR,"⭐ 1 STAR — DoorDash is NOT what you think it is

After using DoorDash repeatedly, I have to say that my experience has been extremely disappointing. Food frequently arrives late, cold, damaged, or poorly handled. And when there is a problem with the driver, getting meaningful help from DoorDash can be incredibly frustrating.

We have had drivers leave food without asking for the required delivery code. We have also had situations where the driver was late, the food was cold, and the pizza arrived crushed.

One incident went far beyond a bad delivery. We contacted DoorDash while the driver was still involved, and the driver became belligerent and cursed at me while DoorDash was on the phone. He was more concerned with leaving to make another delivery than addressing the fact that our order had arrived late and damaged. The situation became serious enough that a police report had to be filed.

What made it even more frustrating was DoorDash telling us that they couldn’t do anything because the driver was working through a third-party arrangement. That raises a very basic question: Who is actually responsible when something goes wrong?

DoorDash charges customers delivery fees, service fees, membership fees, and encourages tipping. Customers are essentially being asked to absorb more and more of the cost while the delivery experience can still be terrible.

And then there are the confusing options where you’re asked to pay extra if you want your order delivered immediately rather than having it bundled or delayed. If I’m already paying delivery and service fees, why should I have to pay even more just to receive the food I already ordered in a reasonable amount of time?

The biggest problem is accountability. When everything goes smoothly, DoorDash gets paid. But when something goes wrong, suddenly everyone has an excuse — the restaurant, the driver, the third-party company, or the customer.

DoorDash needs to take responsibility for the entire delivery experience, not just the transaction.

At the end of the day, DoorDash doesn’t feel like a reliable delivery service. It feels like a middleman collecting fees while customers are left dealing with the consequences when the system fails.

My advice: think twice before ordering. The fees aren’t worth it if your food arrives late, cold, crushed, or you can’t get meaningful help when something goes wrong.",1,2026-08-08T00:39:00.000Z
DoorDash,Food Delivery,Everything has been fine until last…,Everything has been fine until last night the domino's order from hell. The delivery driver delivered $51 of food and drink to yhe wrong address not once not twice but three times. Because apparently he cant follow GPS. Pizza was 2.5 hours late and ice cold. DOORDASH couldn't find it in their heart to issue even partial refund. Avoid this company like the Black Death they dont deserve your business.,1,2026-08-08T00:27:44.000Z
DoorDash,Food Delivery,Awful,"Awful, instantly canceled my order after taking my money and then they wouldnt let me get credits and instead made me wait 5-7 business days for my money back.",1,2026-08-07T22:46:53.000Z
DoorDash,Food Delivery,Someone used my credit card twice to…,Someone used my credit card twice to make their own purchases.,1,2026-08-07T22:27:55.000Z
DoorDash,Food Delivery,Fraudulent company,I ordered Wingstop and then I – an order at steak ‘n Shake. My steak ‘n Shake was never picked up. DoorDash refused to refund me for the steak ‘n Shake order. I escalated the issue and they said there was nothing they can do and then hung up on me without resolving or giving me my money so now I’m filing a dispute with my bank in my bank said that they will refund my money.,1,2026-08-07T21:24:53.000Z
DoorDash,Food Delivery,Efficient,"Food always arrives on time, the drivers are friendly, courteous, and handle items with care and their customer service is excellent unlike Uber eats.",5,2026-08-07T19:28:36.000Z
DoorDash,Food Delivery,I ordered door dash and the app…,I ordered door dash and the app glitched and sent it to a city 110 miles away from my location. I called them and they refunded and then the order after it was cancelled was rerouted from another store but still was 110 miles away from me. So they said they would cancel and refund. So I tried a second time and when I did get my correct order a 3rd of my food had been eaten and my drink had been drank. But I still received a cup with ice and about 1/4 of my drink. So they said they would refund that. I sent them pics of it still sitting by my hotel door. The next day they charged me full price on all 3 orders and now refuse to refund. This is all on my corporate card so it doesn’t come out of my pocket at all. So it wouldn’t do me any good to make this up. Door dash is a joke. Never using it again.,1,2026-08-07T14:03:17.000Z
DoorDash,Food Delivery,Too many times my order was WRONG so…,"Too many times my order was WRONG so the request was declined in which it's understandable the policy has this rule due to untrustworthy people. However, customer service really infuriated me to the point of screaming and cussing out the guy that refused to give the refund. It took this stubborn [ not going to use the word I'd like to use on this review] long enough to get someone else on the line to get the money placed on the card and that could take up to 5 days to get it back on the card. The reciept was correct but the food was not. Pictures of the food and the reciept was taken and sent . I heard I'm sorry but....blah blah blah and I understand...No they don't! They don't care who they try to scam. NEVER AGAIN will I ever be using the corrupt door dash again. They'll make a woman want to unleash the Madea in her.",1,2026-08-07T12:08:56.000Z
DoorDash,Food Delivery,The worst delivery service ever,The worst delivery service ever! They assign multiple orders to a driver and the drivers usually take very very long to complete the order as they have to deliver multiple orders and the food delivered is cold!!,1,2026-08-07T11:47:32.000Z
DoorDash,Food Delivery,Started monthly service without my authorization,I don't have their app nor do I have an account with them but they started charging me a monthly fee which I never signed up for. Of course you cannot contact anybody there so I had to go through the trouble of canceling my credit card and getting a new one. This company is a scam,1,2026-08-07T00:00:20.000Z
DoorDash,Food Delivery,Door dasher has food thieves,"Twice now someone has picked up my food from wawa, and decided they needed it more than me. Either have some standards or pay your people better. This is ridiculous",1,2026-08-06T23:14:05.000Z
DoorDash,Food Delivery,I placed an order with a store for general items and grocery.,I placed an order with a store for about 25 items. I received a message from the dasher saying he was there and starting to stop. I messaged him when the order was an hour late - he never responded. I found later from DD customer service that he cancelled my order. I was never notified by him or by DoorDash.,1,2026-08-06T23:10:12.000Z
DoorDash,Food Delivery,i do not recommend using doordash,i had to deactivate my account cause doordash only wants to refund you what they want. then they want to give you credits instead of your money back. i paid 5.99 plus tax for my baby kids meal from wendy's that never showed up with the rest of the food. they gave me a 1.47 credit which they did not want to give cause they said the food was weighted and showed all of it was together. dasher did not speak enligsh and was no help. i have had to many problems with doordash and not receiving my food or it was made incorrectly to only lose out on money.,1,2026-08-06T21:06:30.000Z
DoorDash,Food Delivery,Stupid commercial on TV,Stupid commercial on TV - says it's free - duh - costs $100. to get a Doordash before you can order their jacked up prices,1,2026-08-06T20:50:28.000Z
